Wort;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
Aal;0;0;0;0;0;1;0;0;0;0
Abakus;0;0;0;0;0;0;0;0;0;1
Abdeckung;0;0;0;0;0;0;0;0;0;1
Abenteuer;1;0;0;1;0;0;0;0;0;0
Aberglaube;1;1;0;0;0;1;0;0;0;0
Abfahrt;0;1;0;0;0;0;0;1;0;0
Abfall;0;1;0;0;1;0;0;0;0;0
Abfindung;0;0;0;0;0;0;0;1;0;0
Abführmittel;0;1;0;0;1;1;0;0;0;0
Abgeschiedenheit;1;1;0;0;0;1;0;0;0;0
Abgrund;0;1;0;0;0;1;0;1;0;0
Abhilfe;1;0;0;1;0;0;1;0;0;1
Abhängigkeit;0;1;0;0;0;1;0;1;0;0
Ableben;0;1;0;0;0;1;0;1;0;0
Ablehnung;0;1;1;0;1;1;0;1;0;0
Abneigung;0;1;1;0;1;1;0;0;0;0
Abschaum;0;1;0;0;1;0;0;0;0;0
Abscheu;0;1;1;0;1;1;0;0;0;0
Abschiebung;0;1;1;0;0;1;0;1;0;0
Abschied;0;0;0;0;0;0;0;1;0;0
Abschluss;1;0;0;1;0;1;1;0;1;1
Abschreibung;0;1;0;0;0;1;0;0;0;0
Absolution;1;0;0;0;0;0;1;0;0;1
Absprache;0;1;1;0;1;1;0;1;0;0
Abstammung;0;0;0;0;0;1;0;1;0;0
Abstand;0;1;1;0;0;1;0;0;0;0
Abstimmung;1;1;1;1;0;0;1;1;1;1
Abstoßung;0;1;0;0;1;1;0;0;0;0
Absturz;0;1;0;0;0;1;0;1;1;0
Abszess;0;1;0;0;0;0;0;1;0;0
Abt;0;0;0;0;0;0;0;0;0;1
Abtreibung;0;1;0;0;1;1;0;1;0;0
Abwasser;0;1;0;0;1;0;0;0;0;0
Abweichung;0;1;0;0;1;0;0;1;0;0
Abwesenheit;0;1;0;0;0;1;0;1;0;0
Abzeichen;0;0;0;0;0;0;0;0;0;1
Achtung;0;1;0;0;0;1;0;1;0;0
Addierer;0;1;1;0;1;1;0;1;0;0
Adel;1;0;0;1;0;0;0;0;0;1
Adler;0;0;0;0;0;0;0;0;0;1
Admiral;1;0;0;0;0;0;0;0;0;1
Adressen;1;0;0;1;0;0;0;0;0;0
Advent;1;0;0;1;0;0;1;0;0;1
Aggression;0;1;1;0;0;1;0;0;0;0
Aggressor;0;1;1;0;0;1;0;0;0;0
Agitation;0;1;1;0;0;0;0;0;0;0
Ahnen;0;0;0;0;0;0;0;0;0;1
Ahnung;0;1;0;1;0;1;0;0;0;0
Akrobat;1;0;0;0;0;1;1;0;0;1
Aktie;1;0;0;1;0;0;1;0;0;1
Alarm;0;1;0;0;0;1;0;0;1;0
Albtraum;0;1;0;0;0;1;0;0;0;0
Alkohol;0;1;1;0;0;0;1;1;0;0
Alkoholismus;0;1;1;0;1;1;0;1;0;0
Allgemeines;1;0;0;0;0;0;0;0;0;1
Allianz;0;0;0;0;0;0;0;0;0;1
Allmacht;1;1;0;0;0;1;0;0;0;0
Aloha;1;0;0;1;0;0;1;0;0;0
Ambition;1;0;0;1;0;0;1;0;0;1
Amen;1;0;0;0;0;0;1;0;0;1
Ammoniak;0;0;0;0;1;0;0;0;0;0
