Wort;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
Aal;0;0;0;0;0;1;0;0;0;0
Aasgeier;0;1;0;0;0;0;0;0;0;0
Abakus;0;0;0;0;0;0;0;0;0;1
Abba;1;0;0;0;0;0;0;0;0;0
abbauen;0;1;0;0;0;0;0;0;0;0
abbrechen;0;1;0;0;0;0;0;0;0;0
Abdeckung;0;0;0;0;0;0;0;0;0;1
Abdruck;0;1;0;0;0;0;0;0;0;0
Abendessen;1;0;0;0;0;0;0;0;0;0
Abenteuer;1;0;0;1;0;0;0;0;0;0
abenteuerlich;1;0;0;0;0;0;0;0;0;0
Aberglaube;1;1;0;0;0;1;0;0;0;0
abergläubisch;0;1;0;1;0;1;0;0;0;0
abfahren;0;0;0;1;0;0;0;1;0;0
Abfahrt;0;1;0;0;0;0;0;1;0;0
Abfall;0;1;0;0;1;0;0;0;0;0
abfallen;0;1;0;0;0;0;0;0;0;0
abfällig;0;1;0;0;0;0;0;0;0;0
Abfindung;0;0;0;0;0;0;0;1;0;0
abfragen;0;0;0;0;0;1;0;0;0;0
Abfuhr;0;1;0;0;0;0;0;0;0;0
abführen;0;1;0;0;0;0;0;0;0;0
Abführmittel;0;1;0;0;1;1;0;0;0;0
abgedrosch;0;1;0;0;0;0;0;0;0;0
abgelegen;0;1;0;0;0;0;0;1;0;0
abgemagert;0;1;0;0;0;1;0;1;0;0
abgeneigt;0;1;1;0;1;1;0;0;0;0
Abgeschiedenheit;1;1;0;0;0;1;0;0;0;0
abgeschwächt;0;1;0;0;0;0;0;0;0;0
abgesondert;0;1;0;0;0;0;0;0;0;0
abgespannt;0;1;0;0;0;0;0;0;0;0
Abgrund;0;1;0;0;0;1;0;1;0;0
abgründig;0;1;0;0;0;0;0;0;0;0
abhängen;0;0;0;1;0;0;0;0;0;1
abhängig;1;1;0;0;0;0;0;0;0;1
Abhängigkeit;0;1;0;0;0;1;0;1;0;0
abheben;0;1;0;0;0;0;0;1;0;0
Abhilfe;1;1;0;1;0;0;1;0;0;1
Abitur;1;0;0;0;0;0;0;0;0;0
Abkopplung;0;1;0;0;0;0;0;0;0;0
Ablauf;0;1;0;0;0;0;0;0;0;0
ablaufen;0;1;0;0;0;0;0;0;0;0
Ableben;0;1;0;0;0;1;0;1;0;0
Ableger;1;0;0;0;0;0;0;0;0;0
ablehnen;0;1;1;0;1;1;0;1;0;1
Ablehnung;0;1;1;0;1;1;0;1;0;0
ablenken;0;1;1;0;0;0;0;0;0;0
ablenkend;0;1;1;1;0;0;0;0;0;0
Ablenkung;0;1;0;0;0;0;0;0;0;0
Ablösung;0;1;0;0;0;0;0;0;0;0
abmessen;0;0;0;0;0;0;0;0;0;1
abmühen;0;1;0;0;0;0;0;0;0;0
abneigen;0;1;1;0;1;1;0;0;0;0
Abneigung;0;1;1;0;1;1;0;0;0;0
abnormal;0;1;0;0;1;0;0;0;0;0
abonnieren;0;0;0;1;0;0;0;0;0;0
abraten;0;1;0;0;0;0;0;0;0;0
abreiben;0;1;0;0;0;0;0;0;0;0
abreisen;0;1;0;0;0;0;0;1;0;0
abreißen;0;1;0;0;0;0;0;0;0;0
Abrieb;0;1;0;0;0;0;0;0;0;0
Abriss;0;1;0;0;0;0;0;0;0;0
abrupt;0;0;0;0;0;0;0;0;1;0
abschaffen;0;1;1;0;0;0;0;0;0;0
Abschaffung;0;1;0;0;0;0;0;0;0;0
Abschaum;0;1;0;0;1;0;0;0;0;0
Abscheu;0;1;1;0;1;1;0;0;0;0
abscheulich;0;1;1;0;1;1;0;0;0;0
Abschiebung;0;1;1;0;0;1;0;1;0;0
Abschied;0;0;0;0;0;0;0;1;0;0
abschließend;1;0;0;0;0;0;0;0;0;0
Abschluss;1;0;0;1;0;1;1;0;1;1
