;Wort;Häufigkeit;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
0;Zeit;30;0;0;0;30;0;0;0;0;0;0
1;Diskriminierung;12;0;12;12;0;12;12;0;12;0;0
2;kommen;11;0;0;0;11;0;0;0;0;0;0
3;gegen;10;0;10;10;0;0;0;0;0;0;0
4;Gewalt;6;0;6;6;0;0;6;0;6;0;0
5;vielleicht;6;0;0;0;0;0;0;0;0;6;0
6;kaum;6;0;6;0;0;0;0;0;6;0;0
7;spät;5;0;5;0;0;0;0;0;5;0;0
8;Angriff;5;0;5;5;0;0;5;0;0;0;0
9;geben;5;5;0;0;0;0;0;0;0;0;0
10;Spa;5;5;0;0;5;0;0;5;0;5;5
11;Pandemie;5;0;5;0;0;0;5;0;5;0;0
12;Mann;4;4;0;0;0;0;0;0;0;0;0
13;schaffen;4;0;4;4;0;4;0;0;0;0;0
14;besonders;4;4;0;0;0;0;0;0;0;0;0
15;finden;4;4;0;0;0;0;0;4;0;0;4
16;Opfer;4;0;4;4;0;4;4;0;4;0;0
17;offen;4;4;0;0;0;0;0;0;0;0;4
18;arbeiten;4;0;4;0;0;0;0;0;4;0;0
19;wollen;4;0;0;0;0;0;0;0;0;0;4
20;groß;4;4;0;0;0;0;0;0;0;0;0
21;beginnen;4;0;0;0;4;0;0;0;0;0;0
22;Arbeit;3;3;0;0;3;0;0;3;0;3;3
23;Leid;3;0;3;0;0;3;3;0;3;0;0
24;Ende;3;0;3;0;0;0;0;0;0;0;0
25;Philosoph;3;3;0;0;0;0;0;0;0;0;3
26;brechen;3;0;3;3;0;0;3;0;3;0;0
27;still;3;3;0;0;0;0;3;3;3;0;0
28;weiblich;3;3;0;0;0;0;0;0;0;0;0
29;jung;3;3;0;0;3;0;0;3;0;3;0
30;darstellen;3;0;0;0;3;0;0;0;0;0;0
31;anders;3;0;0;0;0;0;0;0;0;3;0
32;führen;3;3;0;0;0;0;0;0;0;0;3
33;Soldat;3;3;0;3;0;0;0;0;3;0;0
34;Fall;3;0;3;0;0;0;3;0;3;0;0
35;Brief;3;0;0;0;3;0;0;0;0;0;0
36;bilden;3;0;0;0;0;0;0;0;0;0;3
37;sprechen;3;0;3;0;0;0;0;0;0;0;0
38;Angst;3;0;3;3;3;0;3;0;3;3;0
39;alt;3;3;3;0;0;0;0;0;3;0;3
